TABLE READING - CARD A (Part 1 Lookup)

Rows: R1..R10
Columns: C1..C10
Task: Cross-reference the requested row and column to find the value.

       C1   C2   C3   C4   C5   C6   C7   C8   C9  C10
R1    171  186  201  197  212  234  249  245  260  275
R2    192  193  213  214  241  242  262  263  283  284
R3    213  219  225  238  263  269  275  281  287  312
R4    215  226  244  255  266  277  288  299  310  328
R5    236  259  275  272  288  304  301  317  340  337
R6    264  266  287  289  310  312  314  342  344  365
R7    285  292  299  306  313  320  353  360  367  374
R8    287  299  311  323  335  354  366  378  390  383
R9    308  325  323  340  364  362  379  396  394  411
R10   329  332  354  364  367  389  392  395  417  420
